Sno,MatchID,Team1,Team2,Winner,Year,Ground,Runs,Fours,Sixes,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR
9,893,India,South Africa,South Africa,2019,Bengaluru,253,22,10,night,1,0,1,0,1,40000,122.9392857
10,1000,India,Bangladesh,Bangladesh,2019,Delhi,291,25,11,night,1,0,0,1,1,20000,136.9792308
11,1007,India,Bangladesh,India,2019,Rajkot,295,29,8,night,1,0,1,0,0,28000,126.6358333
12,1014,India,Bangladesh,India,2019,Nagpur,311,32,8,night,1,0,0,1,1,45000,123.2411111
13,1020,India,West Indies,India,2019,Hyderabad (Deccan),387,23,27,night,1,0,1,0,0,20000,131.7169231
14,1022,India,West Indies,West Indies,2019,Thiruvananthapuram,320,23,17,night,1,0,0,1,1,55000,135.5423077
15,1024,India,West Indies,India,2019,Mumbai,395,31,28,night,1,0,0,1,1,32000,123.8206667
0,732,South Africa,Pakistan,South Africa,2019,Cape Town,362,34,11,night,1,0,0,1,1,25000,127.0915789
1,734,South Africa,Pakistan,South Africa,2019,Johannesburg,351,35,13,day,1,0,0,1,1,28000,123.3471429
2,736,South Africa,Pakistan,Pakistan,2019,Centurion,293,27,11,night,1,0,1,0,0,20000,100.4281818
3,772,England,Pakistan,England,2019,Cardiff,336,31,10,day,1,0,0,1,0,5500,124.6469231
4,914,Pakistan,Sri Lanka,Sri Lanka,2019,Lahore,247,22,5,night,1,0,1,0,0,20000,107.6772222
5,922,Pakistan,Sri Lanka,Sri Lanka,2019,Lahore,308,33,9,night,1,0,0,1,0,20000,102.71
6,925,Pakistan,Sri Lanka,Sri Lanka,2019,Lahore,262,19,6,night,1,0,0,1,0,20000,118.528125
7,999,Australia,Pakistan,no result,2019,Sydney,145,12,6,day,1,0,1,0,0,44002,126.2111111
8,1002,Australia,Pakistan,Australia,2019,Canberra,295,32,4,night,1,0,0,1,0,12000,125.8815385
9,1009,Australia,Pakistan,Australia,2019,Perth,201,18,6,daynight,1,0,1,0,0,20000,112.5541667
0,718,New Zealand,Sri Lanka,New Zealand,2019,Auckland,295,18,17,night,1,0,0,1,1,41000,126.4395
1,755,South Africa,Sri Lanka,tied,2019,Cape Town,258,20,8,night,1,0,1,0,0,25000,115.9594737
2,758,South Africa,Sri Lanka,South Africa,2019,Centurion,334,32,13,night,1,0,0,1,1,20000,122.37125
3,763,South Africa,Sri Lanka,South Africa,2019,Johannesburg,308,29,14,day,1,0,0,1,1,28000,115.856
4,878,Sri Lanka,New Zealand,New Zealand,2019,Pallekele,322,21,12,night,1,0,1,0,1,35000,132.68
5,879,Sri Lanka,New Zealand,New Zealand,2019,Pallekele,316,24,10,night,1,0,1,0,1,35000,129.5772222
6,880,Sri Lanka,New Zealand,Sri Lanka,2019,Pallekele,193,13,4,night,1,0,1,0,1,35000,115.9733333
7,914,Pakistan,Sri Lanka,Sri Lanka,2019,Lahore,247,22,5,night,1,0,1,0,0,20000,107.6772222
8,922,Pakistan,Sri Lanka,Sri Lanka,2019,Lahore,308,33,9,night,1,0,0,1,0,20000,102.71
9,925,Pakistan,Sri Lanka,Sri Lanka,2019,Lahore,262,19,6,night,1,0,0,1,0,20000,118.528125
10,978,Australia,Sri Lanka,Australia,2019,Adelaide,318,33,11,day,1,0,0,1,1,50000,115.9666667
11,988,Australia,Sri Lanka,Australia,2019,Brisbane,226,24,2,night,1,0,0,1,0,37000,121.7271429
12,993,Australia,Sri Lanka,Australia,2019,Melbourne,267,13,10,night,1,0,1,0,0,90000,121.0761538
0,808,Netherlands,Zimbabwe,Netherlands,2019,Rotterdam,328,31,11,day,1,0,0,1,1,20000,125.0936842
1,811,Netherlands,Zimbabwe,tied,2019,Rotterdam,295,26,8,day,1,0,1,0,1,20000,120.752
2,825,Ireland,Zimbabwe,Ireland,2019,Bready,259,30,13,daynight,1,0,1,0,0,20000,134.7233333
3,831,Ireland,Zimbabwe,Zimbabwe,2019,Bready,329,34,16,daynight,1,0,0,1,1,20000,124.8142857
4,881,Bangladesh,Zimbabwe,Bangladesh,2019,Dhaka,279,26,10,night,0,1,1,0,0,25000,125.695625
5,882,Afghanistan,Zimbabwe,Afghanistan,2019,Dhaka,348,18,25,night,1,0,0,1,1,25000,129.174
6,886,Bangladesh,Zimbabwe,Bangladesh,2019,Chattogram,299,19,14,night,0,1,0,1,1,22000,127.0815
7,890,Afghanistan,Zimbabwe,Zimbabwe,2019,Chattogram,299,19,17,night,1,0,1,0,1,22000,126.2453333
8,894,Nepal,Zimbabwe,Zimbabwe,2019,Singapore,237,21,10,night,0,0,1,0,1,20000,109.1486667
9,897,Singapore,Zimbabwe,Singapore,2019,Singapore,337,36,13,night,0,0,1,0,1,20000,104.739
10,899,Nepal,Zimbabwe,Zimbabwe,2019,Singapore,257,22,8,night,0,0,1,0,0,20000,106.7321053
11,902,Singapore,Zimbabwe,Zimbabwe,2019,Singapore,308,24,15,night,0,0,0,1,1,20000,128.0141667
0,645,Australia,England,Australia,2018,Hobart,303,27,11,night,1,0,1,0,0,15000,141.6127778
1,646,Australia,England,Australia,2018,Melbourne,256,25,8,night,1,0,1,0,0,90000,140.8669231
2,647,New Zealand,England,New Zealand,2018,Wellington,361,30,19,night,1,0,0,1,1,33500,132.6505556
3,650,New Zealand,England,England,2018,Hamilton,368,22,27,night,1,0,1,0,0,10000,152.1286667
4,679,England,Australia,England,2018,Birmingham,405,37,20,daynight,1,0,0,1,1,24803,124.2133333
5,684,England,India,India,2018,Manchester,309,30,11,daynight,1,0,0,1,1,19000,146.3428571
6,688,England,India,England,2018,Cardiff,283,21,10,daynight,1,0,1,0,0,5500,149.9371429
7,690,England,India,India,2018,Bristol,393,38,23,day,1,0,0,1,1,7000,144.782
8,703,Sri Lanka,England,England,2018,Colombo (RPS),330,27,18,night,1,0,1,0,0,35000,124.5285714
0,642,Australia,New Zealand,Australia,2018,Sydney,199,16,6,night,0,0,1,0,0,44002,132.322
1,645,Australia,England,Australia,2018,Hobart,303,27,11,night,1,0,1,0,0,15000,141.6127778
2,646,Australia,England,Australia,2018,Melbourne,256,25,8,night,1,0,1,0,0,90000,140.8669231
3,649,New Zealand,Australia,Australia,2018,Auckland,456,33,32,night,0,0,1,0,1,41000,138.34
4,653,New Zealand,Australia,Australia,2018,Auckland,257,19,10,night,0,0,1,0,1,41000,134.961875
5,679,England,Australia,England,2018,Birmingham,405,37,20,daynight,1,0,0,1,1,24803,124.2133333
6,682,Australia,Pakistan,Australia,2018,Harare,214,15,10,day,1,0,1,0,0,10000,130.8857143
7,683,Zimbabwe,Australia,Australia,2018,Harare,339,31,17,day,0,1,1,0,0,10000,102.026
8,686,Australia,Pakistan,Pakistan,2018,Harare,330,30,13,day,1,0,1,0,0,10000,122.045
9,687,Zimbabwe,Australia,Australia,2018,Harare,284,18,11,day,0,1,1,0,1,10000,120.1388235
10,689,Australia,Pakistan,Pakistan,2018,Harare,354,33,15,day,1,0,1,0,1,10000,139.656875
11,700,U.A.E.,Australia,Australia,2018,Tolerance Oval,228,21,5,day,0,0,0,0,0,20000,101.2083333
12,701,Australia,Pakistan,Pakistan,2018,Abu Dhabi,235,24,4,night,0,0,1,0,0,20000,127.572381
13,702,Australia,Pakistan,Pakistan,2018,Dubai (DSC),255,14,10,night,0,0,0,1,0,25000,132.1844444
14,704,Australia,Pakistan,Pakistan,2018,Dubai (DSC),256,21,9,night,0,0,0,1,0,25000,124.4733333
15,711,Australia,South Africa,South Africa,2018,Carrara,174,17,5,night,1,0,1,0,0,15500,131.43
16,712,Australia,India,Australia,2018,Brisbane,309,25,13,daynight,1,0,0,1,1,37000,160.488
17,713,Australia,India,no result,2018,Melbourne,116,10,4,night,1,0,0,1,1,90000,130.9877778
18,714,Australia,India,India,2018,Sydney,313,33,8,night,1,0,1,0,1,44002,135.3178571
0,652,South Africa,India,India,2018,Johannesburg,359,37,12,day,1,0,1,0,0,28000,120.8211111
1,654,South Africa,India,South Africa,2018,Centurion,369,30,19,night,1,0,1,0,0,20000,136.3366667
2,655,South Africa,India,India,2018,Cape Town,325,28,9,night,1,0,1,0,0,25000,147.223125
3,695,Sri Lanka,South Africa,Sri Lanka,2018,Colombo (RPS),184,21,5,night,1,0,0,1,0,35000,95.9345
4,698,South Africa,Zimbabwe,South Africa,2018,East London,266,20,13,night,1,0,1,0,1,15000,106.2615789
5,699,South Africa,Zimbabwe,South Africa,2018,Potchefstroom,253,22,13,night,1,0,0,1,0,20000,125.8006667
6,711,Australia,South Africa,South Africa,2018,Carrara,174,17,5,night,1,0,1,0,0,15500,131.43
0,637,New Zealand,West Indies,no result,2018,Mount Maunganui,99,12,4,night,1,0,0,1,1,20000,127.7916667
1,638,New Zealand,West Indies,New Zealand,2018,Mount Maunganui,349,22,24,night,1,0,1,0,1,20000,125.27
2,663,Pakistan,West Indies,Pakistan,2018,Karachi,246,25,9,day,1,0,0,1,1,20000,113.2055556
3,664,Pakistan,West Indies,Pakistan,2018,Karachi,316,38,8,day,1,0,1,0,1,20000,112.383125
4,665,Pakistan,West Indies,Pakistan,2018,Karachi,293,29,11,day,1,0,0,1,0,20000,116.2191667
5,666,ICC World XI,West Indies,West Indies,2018,Lord's,304,22,20,night,0,1,1,0,0,30000,118.8076471
6,692,West Indies,Bangladesh,West Indies,2018,Basseterre,216,20,10,night,1,0,1,0,0,8000,120.8425
7,693,Bangladesh,West Indies,Bangladesh,2018,Lauderhill,316,27,15,night,0,1,0,1,1,20000,120.7355556
8,694,Bangladesh,West Indies,Bangladesh,2018,Lauderhill,296,25,12,night,0,1,1,0,1,20000,122.3746667
9,707,India,West Indies,India,2018,Kolkata,201,24,2,night,1,0,1,0,0,66000,126.2523529
10,709,India,West Indies,India,2018,Lucknow,293,25,12,night,1,0,0,1,1,50000,122.8386667
11,710,India,West Indies,India,2018,Chennai,336,33,14,night,1,0,0,1,0,38000,137.9063636
12,715,Bangladesh,West Indies,West Indies,2018,Sylhet,245,23,12,day,1,0,1,0,1,13533,128.472
13,716,Bangladesh,West Indies,Bangladesh,2018,Dhaka,354,37,12,daynight,1,0,0,1,1,25000,126.1417647
14,717,Bangladesh,West Indies,West Indies,2018,Dhaka,307,24,20,daynight,1,0,1,0,0,25000,116.3754545
