,Team1,Team2,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR,CRating,Elevel
677,England,New Zealand,day,0,0,0,1,0,12400,116.7094118,224,L
678,England,Sri Lanka,day,0,0,0,1,0,12400,110.6369231,218,L
679,Australia,England,day,0,0,0,1,1,28000,133.39,243,L
680,England,Pakistan,day,1,0,1,0,0,5500,113.7892308,214,L
681,England,Pakistan,night,1,0,0,1,0,5500,113.1829412,214,L
682,Australia,Pakistan,night,1,0,1,0,1,90000,112.0768182,237,L
683,Australia,West Indies,night,1,0,1,0,1,15000,111.3084211,205,L
684,Australia,West Indies,night,1,0,0,1,0,44002,119.0261538,205,H
685,New Zealand,Australia,night,1,0,1,0,1,33500,106.4541176,247,L
686,New Zealand,Australia,night,1,0,1,0,1,36500,115.5992308,247,H
687,Australia,Pakistan,day,0,0,1,0,1,12400,120.4031818,237,A
688,Australia,Bangladesh,day,0,0,1,0,1,28000,110.327,185,L
689,Australia,India,day,0,0,0,1,1,28000,123.82,255,H
690,Australia,Sri Lanka,day,0,0,1,0,1,28000,107.6916667,241,L
691,West Indies,Australia,daynight,0,0,1,0,1,12400,115.9752941,205,L
692,Australia,Pakistan,day,0,0,1,0,0,12400,125.54875,237,H
694,Australia,Pakistan,day,0,1,0,1,0,24803,115.2735,237,A
695,Australia,Pakistan,day,0,1,0,1,0,24803,110.0972727,237,H
696,Australia,Sri Lanka,daynight,1,0,1,0,1,18000,129.9121429,241,A
697,India,South Africa,day,0,1,0,1,1,12400,120.8807143,239,A
698,Afghanistan,South Africa,daynight,0,1,1,0,0,28000,103.1195,245,A
699,New Zealand,South Africa,day,0,1,0,1,0,28000,116.1053333,231,A
701,Pakistan,South Africa,day,0,1,1,0,1,12400,115.3444444,221,L
702,West Indies,South Africa,day,1,0,1,0,0,10000,107.108,189,L
703,West Indies,South Africa,day,1,0,1,0,0,10000,109.0282353,189,L
704,Pakistan,South Africa,night,0,0,1,0,1,20000,111.8741176,221,A
705,Pakistan,South Africa,night,0,0,1,0,1,20000,110.533125,221,L
709,West Indies,Sri Lanka,day,0,0,0,1,0,28000,102.0526667,180,A
710,West Indies,India,day,0,0,0,1,1,28000,107.9626316,194,H
714,New Zealand,Bangladesh,night,1,0,0,1,0,10000,85.99769231,166,H
717,New Zealand,Sri Lanka,day,0,0,0,1,0,15000,106.0411765,222,L
719,New Zealand,Pakistan,day,0,0,0,1,1,28000,117.3164706,218,L
721,New Zealand,Sri Lanka,day,0,1,1,0,1,20000,98.427,222,L
722,New Zealand,Sri Lanka,day,0,1,1,0,1,20000,97.4725,222,L
723,New Zealand,Pakistan,day,1,0,1,0,0,41000,110.7188889,218,H
724,New Zealand,Pakistan,night,1,0,0,1,1,10000,109.3905263,218,H
725,New Zealand,Pakistan,night,1,0,0,1,0,36500,98.81052632,218,H
726,Afghanistan,India,day,0,0,0,1,1,12400,103.734,250,L
730,India,Sri Lanka,day,0,0,1,0,1,12400,116.1384615,230,L
734,Bangladesh,Pakistan,day,0,0,0,1,0,12400,94.95785714,156,L
757,Australia,England,night,1,0,1,0,1,50000,102.7082353,233,A
758,Australia,England,night,1,0,1,0,1,90000,123.0276471,233,L
759,England,Sri Lanka,day,1,0,0,1,1,7000,97.31,223,L
760,England,India,night,1,0,0,1,0,19000,105.3311765,226,A
761,England,West Indies,night,1,0,1,0,0,23500,92.02615385,173,L
762,England,West Indies,night,1,0,1,0,0,23500,96.26,173,L
763,India,England,night,1,0,1,0,1,66000,95.536875,226,L
766,Sri Lanka,Australia,night,1,0,0,1,1,35000,123.9113333,246,H
767,Sri Lanka,Australia,night,1,0,1,0,1,35000,107.6354545,246,A
768,South Africa,Australia,night,1,0,1,0,1,25000,100.6175,244,L
769,South Africa,Australia,day,1,0,0,1,0,28000,111.3694444,244,A
770,South Africa,India,day,1,0,0,1,0,20000,114.3433333,237,A
773,West Indies,Pakistan,day,1,0,1,0,1,12400,110.054,171,L
774,West Indies,India,day,1,0,1,0,0,25000,116.9226667,189,L
777,Bangladesh,West Indies,daynight,1,0,1,0,0,25000,88.82631579,136,L
783,Pakistan,Sri Lanka,night,0,0,0,1,0,20000,92.23166667,221,L
784,Bangladesh,Pakistan,daynight,1,0,0,1,0,25000,90.6805,171,L
789,England,Pakistan,night,0,0,1,0,0,25000,111.048,236,L
790,England,Pakistan,night,0,0,1,0,1,25000,104.748,236,A
791,England,Pakistan,night,0,0,1,0,1,20000,111.022,236,L
792,England,West Indies,day,1,0,0,1,0,15350,132.4654545,222,L
793,England,South Africa,day,1,0,0,1,1,5000,117.8807143,251,L
794,England,South Africa,night,1,0,1,0,0,19000,131.2827273,251,L
795,England,South Africa,night,1,0,0,1,1,24803,121.4214286,251,A
796,Afghanistan,England,night,0,0,1,0,0,35000,104.6944444,212,H
797,England,India,night,0,0,1,0,0,35000,113.3058824,232,L
798,England,West Indies,night,0,0,0,1,0,35000,131.4869231,222,H
799,England,New Zealand,daynight,0,0,0,1,0,35000,124.2071429,243,L
800,Sri Lanka,England,night,0,0,0,1,1,35000,118.7157895,246,A
801,India,England,night,1,0,1,0,0,20000,115.0246667,232,L
802,India,England,night,1,0,0,1,1,32000,117.6613333,232,A
803,Australia,India,night,1,0,0,1,1,78000,113.3828571,210,L
804,Australia,India,night,1,0,1,0,1,90000,109.5026667,210,L
805,West Indies,Australia,day,1,0,1,0,1,12400,119.0107692,200,H
806,West Indies,Australia,day,1,0,1,0,1,28000,109.9122727,200,A
807,Australia,Pakistan,night,0,0,0,1,1,25000,108.105625,214,L
808,Australia,Pakistan,night,0,0,0,1,0,25000,113.4373333,214,L
809,Australia,Pakistan,night,0,0,0,1,1,25000,105.945,214,L
810,Australia,West Indies,night,0,0,0,1,0,35000,122.45,200,H
811,Australia,India,night,0,0,0,1,0,35000,121.1008333,210,H
812,Australia,South Africa,daynight,0,0,1,0,0,35000,124.1772727,229,L
813,Australia,Pakistan,daynight,0,0,1,0,0,35000,110.5329412,214,L
814,Australia,West Indies,night,0,0,0,1,0,35000,118.255625,200,H
815,New Zealand,South Africa,night,1,0,1,0,0,33500,128.2557143,236,L
816,New Zealand,South Africa,night,1,0,0,1,1,10000,120.787,236,H
817,New Zealand,South Africa,night,1,0,1,0,0,41000,127.0466667,236,A
818,South Africa,India,daynight,1,0,0,1,1,28000,132.50625,225,H
822,Sri Lanka,South Africa,daynight,0,0,1,0,0,35000,122.7461538,239,L
823,Pakistan,South Africa,daynight,0,0,0,1,0,35000,117.9583333,229,A
825,India,South Africa,night,0,0,0,1,1,35000,128.6605556,225,L
826,South Africa,New Zealand,night,1,0,0,1,0,25000,110.49,236,H
827,South Africa,New Zealand,night,1,0,0,1,1,15000,131.5145455,236,H
828,South Africa,New Zealand,day,1,0,1,0,1,19000,120.3972222,236,A
832,New Zealand,West Indies,day,0,1,1,0,0,20000,117.706,207,H
833,New Zealand,West Indies,day,0,1,0,1,0,20000,114.2544444,207,A
836,Sri Lanka,West Indies,night,0,0,0,1,0,35000,131.56,210,H
837,New Zealand,West Indies,daynight,0,0,1,0,0,35000,116.6273684,207,L
839,Sri Lanka,West Indies,night,0,0,0,1,0,35000,115.6726316,210,L
840,Bangladesh,West Indies,night,1,0,0,1,0,25000,139.4222222,221,H
846,India,New Zealand,night,1,0,1,0,0,38000,129.3892308,217,L
847,Bangladesh,New Zealand,daynight,0,0,1,0,0,35000,124.9635714,242,A
848,New Zealand,Pakistan,daynight,0,0,0,1,0,35000,116.4261111,221,A
849,Sri Lanka,New Zealand,daynight,0,0,0,1,0,35000,122.3093333,231,L
852,Sri Lanka,New Zealand,day,1,0,1,0,0,35000,118.5872727,231,L
859,Sri Lanka,India,night,1,0,1,0,0,35000,107.340625,220,L
861,Afghanistan,India,night,0,0,1,0,0,35000,119.5822222,186,A
864,India,Pakistan,night,0,0,0,1,0,35000,110.4486667,210,L
868,India,Pakistan,night,1,0,0,1,1,40000,106.6516667,210,L
869,India,Pakistan,daynight,1,0,0,1,1,132000,119.1793333,210,H
873,Sri Lanka,Pakistan,night,1,0,1,0,1,35000,94.6315,224,L
874,Sri Lanka,Pakistan,night,1,0,0,1,0,35000,91.51789474,224,L
879,Bangladesh,Pakistan,night,0,0,1,0,1,35000,122.3409091,235,H
883,Sri Lanka,Pakistan,night,0,0,1,0,1,35000,114.4026667,224,L
